,id,online_id,year,quarter,service,value,program,theme,media_type,pubdate,headline,objective1,objective2,objective3
0,26345,e0d78415-2482-47c6-ad6d-93e3388f77bf,2019,1,Thai,12960,VEO,Economy,article,2018-12-28,,Reduce support for radical Islam and terrorism,,
1,26346,c73eb697-522a-4e69-81a5-63601e36cc64,2019,1,Thai,6515,VEO,Rule of Law,article,2017-04-10,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
2,26347,2b573b1b-5a9c-432e-b64e-c2fb3f51a9a9,2019,1,Thai,3928,,,,,,,,
3,26348,7371dae1-ffe8-4655-ab69-78d62fdaa71d,2019,1,Thai,3716,VEO,VEO Consequences,article,2018-12-11,,Reduce effectiveness of VEO recruiting efforts,,
4,26349,ddd0c038-b245-4cd1-a09a-9787bfa1a3fd,2019,1,Thai,3018,VEO,Rule of Law,article,2019-01-02,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
5,26350,d0d6d61f-8dbc-441b-bc11-353c65b5bea9,2019,1,Thai,2734,VEO,VEO Consequences,article,2019-02-27,,Reduce effectiveness of VEO recruiting efforts,,
6,26351,83a15bec-8483-4f87-947b-d0c8e6ba842d,2019,1,Thai,2020,VEO,Economy,article,2018-12-07,,Reduce support for radical Islam and terrorism,,
7,26352,250a727d-b827-4f6b-b8c2-cf40958a290e,2019,1,Thai,1942,VEO,VEO Consequences,article,2019-02-01,,Reduce effectiveness of VEO recruiting efforts,,
8,26353,794f8135-5e7a-4394-82ca-666f6d244b25,2019,1,Thai,1757,VEO,Regional Cooperation,article,2015-05-29,,Increase regional stability,,
9,26354,0972153d-09b9-4ef0-ab74-3ec8c0fe9b61,2019,1,Thai,1606,VEO,Democratic Processes,article,2019-02-04,,Impede the spread of extremist ideology in the AOR,,
10,26355,f3af5aa1-9587-46f1-807e-21ec07215e6c,2019,1,Thai,1395,VEO,Non-Violent Conflict Resolution,article,2019-01-04,,Impede the spread of extremist ideology in the AOR,Increase regional stability,
11,26356,ba15c107-1b9e-4b04-9262-98f80933e504,2019,1,Thai,1363,VEO,Rule of Law,article,2018-06-19,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
12,26357,58bfe3ae-9035-4bae-9195-c0893348236b,2019,1,Thai,1154,PRC,Regional stability,article,2018-10-19,Ten Rubber Wood Producers in Yala Shut Down After Chinese Companies Reduce Orders,"Deter adversary aggression, provocation, or coercion","Deter regional aggression, provocation, or coercion against the US, Allies, and partners",
13,26358,7009abef-afde-4da1-bb03-cdd37636ec98,2019,1,Thai,1121,VEO,VEO Consequences,article,2019-01-18,,Reduce effectiveness of VEO recruiting efforts,,
14,26359,fb19bf69-1fda-449d-8b06-051b828cbfd7,2019,1,Thai,1006,VEO,VEO Consequences,article,2019-02-15,,Reduce effectiveness of VEO recruiting efforts,,
15,26360,2a9a7b37-11ef-470b-a8e3-2d0d30aa58c3,2019,1,Thai,1003,,,,,,,,
16,26361,2e343f60-a03c-4174-ac8a-11e15cdeb3c1,2019,1,Thai,900,VEO,SESI,article,2017-11-06,,None,,
17,26362,4bf3f35b-da38-4abe-8795-4397d089e759,2019,1,Thai,892,VEO,VEO Consequences,article,2019-02-07,,Reduce effectiveness of VEO recruiting efforts,,
18,26363,f5635f61-6d0c-4dc9-821c-5924fc2d89d5,2019,1,Thai,755,VEO,Non-Violent Conflict Resolution,article,2019-01-11,,Impede the spread of extremist ideology in the AOR,Increase regional stability,
19,26364,e8e9aa5a-e597-4c99-9cfc-d2a8ad39647c,2019,1,Thai,705,VEO,Non-Violent Conflict Resolution,article,2018-12-27,,Impede the spread of extremist ideology in the AOR,Increase regional stability,
20,26365,98de4fa2-f16e-417a-8634-fb9aff358b21,2019,1,Thai,697,VEO,Anti-Crime,article,2019-01-28,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
21,26366,c0081a56-7dd8-473f-9735-acfaf9054306,2019,1,Thai,689,VEO,Non-Violent Conflict Resolution,article,2019-02-04,,Impede the spread of extremist ideology in the AOR,Increase regional stability,
22,26367,f184cbb1-41f0-4aab-9a97-c9253c3e3997,2019,1,Thai,688,VEO,SESI,slideshow,2018-08-17,,None,,
23,26368,9e1d1eca-6ede-42e3-ad27-7ce23c0ec29f,2019,1,Thai,675,VEO,Rule of Law,commentary,2018-10-01,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
24,26369,6b5742a2-9a45-4ae7-bb5c-80d62be98307,2019,1,Thai,639,VEO,VEO Consequences,article,2019-02-21,,Reduce effectiveness of VEO recruiting efforts,,
25,26370,45dadf4d-a08e-4adb-aad4-d5e7d9e27857,2019,1,Thai,628,VEO,VEO Consequences,article,2019-01-29,,Reduce effectiveness of VEO recruiting efforts,,
26,26371,00b6fd06-2100-4a4d-b5f6-faabf00dd500,2019,1,Thai,627,VEO,VEO Consequences,article,2019-03-08,,Reduce effectiveness of VEO recruiting efforts,,
27,26372,60eff903-f8f2-47a5-9915-ebaeeb2f64d0,2019,1,Thai,609,VEO,Rule of Law,article,2018-12-12,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
28,26373,d1e0ebd8-b654-4ef0-bce1-3aecbea09a35,2019,1,Thai,591,VEO,Democratic Processes,article,2019-02-08,,Impede the spread of extremist ideology in the AOR,,
29,26374,7a22fb24-c64e-43a5-aef1-c97e94a836dd,2019,1,Thai,569,VEO,VEO Consequences,article,2019-01-22,,Reduce effectiveness of VEO recruiting efforts,,
30,26375,a65edead-f139-45f1-b21e-2623de83410b,2019,1,Thai,550,VEO,VEO Consequences,article,2019-01-03,,Reduce effectiveness of VEO recruiting efforts,,
31,26376,b25c6f43-75f5-4f64-ba27-de822e582361,2019,1,Thai,542,VEO,Rule of Law,commentary,2018-05-21,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
32,26377,dcb89757-85e0-44d3-9b0b-a00cb1c813c2,2019,1,Thai,524,VEO,Democratic Processes,article,2019-03-05,,Impede the spread of extremist ideology in the AOR,,
33,26378,cc6f004c-f086-48d5-85d9-a8aab015f7eb,2019,1,Thai,480,PRC,HN/PN support,article,2019-02-04,,Increase regional stability,,
34,26379,4397962c-fbf2-443c-a266-7a4a44324079,2019,1,Thai,477,VEO,VEO Consequences,article,2018-06-12,,Reduce effectiveness of VEO recruiting efforts,,
35,26380,a8c41fd8-c447-4ab5-8cc8-3e7d8ca7e8ad,2019,1,Thai,468,PRC,HN/PN support,article,2019-01-29,,Increase regional stability,,
36,26381,94799703-6409-422e-a783-447e0ce00d51,2019,1,Thai,440,VEO,SESI,article,2019-01-15,,None,,
37,26382,3e9e0094-c7dc-4513-8662-8bf34da8a5b5,2019,1,Thai,430,,,,,,,,
38,26383,7f799e4a-5874-416b-8f19-93ca7e21abe5,2019,1,Thai,421,VEO,VEO Consequences,article,2019-02-11,,Reduce effectiveness of VEO recruiting efforts,,
39,26384,ef702749-ad4d-4b80-89c8-6830b20aa894,2019,1,Thai,420,,,,,,,,
40,26385,4fc6da90-82b5-41ec-b0fa-1eeb78528dd9,2019,1,Thai,410,VEO,Non-Violent Conflict Resolution,article,2015-08-27,,Impede the spread of extremist ideology in the AOR,Increase regional stability,
41,26386,22cfa815-fc6b-4806-a941-5b3b77e08322,2019,1,Thai,408,VEO,Rule of Law,article,2019-03-05,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
42,26387,aa8859fc-372e-4fd1-b12b-31225f74f0d0,2019,1,Thai,388,VEO,Human Rights,article,2019-01-07,,Impede the spread of extremist ideology in the AOR,,
43,26388,19363e10-4265-4d96-80fa-997e88652abb,2019,1,Thai,386,VEO,Positive Coalition/US Image,article,2019-02-12,,Counter VEO propaganda,,
44,26389,b90ee94d-7776-4728-902b-174822b853fb,2019,1,Thai,382,VEO,Non-Violent Conflict Resolution,article,2019-02-25,,Impede the spread of extremist ideology in the AOR,Increase regional stability,
45,26390,6d5a25ac-3334-49f0-a81d-c52a49fcd5e2,2019,1,Thai,378,VEO,VEO Consequences,article,2019-02-26,,Reduce effectiveness of VEO recruiting efforts,,
46,26391,6754fbc3-94b0-447e-add2-90c8798e98a7,2019,1,Thai,374,VEO,Human Rights,article,2018-10-02,,Impede the spread of extremist ideology in the AOR,,
47,26392,2352e844-2497-4e1e-bf00-19ce78754913,2019,1,Thai,372,VEO,Human Rights,article,2018-09-05,,Impede the spread of extremist ideology in the AOR,,
48,26393,cd5e3177-847a-4965-b45d-6a8b8318e42d,2019,1,Thai,368,VEO,Human Rights,article,2019-01-23,,Impede the spread of extremist ideology in the AOR,,
49,26394,f074002f-cb8a-4e90-a5c5-bb4e9c585984,2019,1,Thai,365,VEO,VEO Consequences,article,2019-02-05,,Reduce effectiveness of VEO recruiting efforts,,
50,26395,547fc836-1ac5-43e8-b080-8d9676ea1bed,2019,1,Thai,356,VEO,VEO Consequences,article,2019-03-10,,Reduce effectiveness of VEO recruiting efforts,,
51,26396,49d3bbc7-ac0a-4204-993b-f8872cdba5e9,2019,1,Thai,348,VEO,VEO Consequences,article,2019-01-08,,Reduce effectiveness of VEO recruiting efforts,,
52,26397,312a0e62-d4b5-441f-a41a-c60277283d53,2019,1,Thai,343,VEO,Rule of Law,article,2018-11-09,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
53,26398,59729b2c-2366-43b4-9f44-266de64056ff,2019,1,Thai,337,VEO,Rule of Law,article,2019-02-01,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
54,26399,48249cd3-3f60-4377-84d2-54a1cdb9b02e,2019,1,Thai,308,VEO,Rule of Law,article,2018-12-07,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
55,26400,2b7d3750-c0e4-4daa-9428-cbef7578a62d,2019,1,Thai,300,VEO,VEO Consequences,article,2018-12-28,,Reduce effectiveness of VEO recruiting efforts,,
56,26401,806be8d4-ede2-43a0-a8e8-c785427ab34c,2019,1,Thai,299,VEO,Rule of Law,article,2018-11-16,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
57,26402,2d8f031b-238c-4536-9012-ae95f6af760c,2019,1,Thai,294,VEO,VEO Consequences,article,2019-03-06,,Reduce effectiveness of VEO recruiting efforts,,
58,26403,18692ec3-4382-4f3d-a9f1-2e14f9439e09,2019,1,Thai,293,VEO,Employment (Jobs),article,2018-12-19,,Reduce effectiveness of VEO recruiting efforts,,
59,26404,17ab0e8d-505e-441f-9182-73ffd2b5ea2f,2019,1,Thai,289,VEO,Rule of Law,article,2018-09-12,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
60,26405,e2373cc6-b535-465d-9c4a-ad4dbabdc802,2019,1,Thai,284,VEO,VEO Consequences,article,2018-12-27,,Reduce effectiveness of VEO recruiting efforts,,
61,26406,148798aa-05d8-4a81-bfeb-33b64e9d6141,2019,1,Thai,280,VEO,Democratic Processes,article,2019-02-22,,Impede the spread of extremist ideology in the AOR,,
62,26407,0269bc64-e4ec-40a9-9870-7b749f839e1e,2019,1,Thai,279,VEO,Regional Security,article,2019-02-19,,Increase regional stability,,
63,26408,fb22ff2f-4ec3-4b96-8891-5bcb5db0a704,2019,1,Thai,274,VEO,VEO Consequences,article,2019-01-24,,Reduce effectiveness of VEO recruiting efforts,,
64,26409,fe219dc0-73ff-4c2d-91c3-16f1ab3be472,2019,1,Thai,269,VEO,Rule of Law,article,2019-01-08,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
65,26410,8e688459-7683-465f-8ed2-3a7dcb231ffe,2019,1,Thai,266,VEO,SESI,article,2018-07-27,,None,,
66,26411,73964b96-bd18-4ec1-b549-78aa1d433df3,2019,1,Thai,265,VEO,VEO Consequences,article,2018-11-02,,Reduce effectiveness of VEO recruiting efforts,,
67,26412,929dbbb2-9750-498b-8f68-7232a17e4896,2019,1,Thai,260,VEO,Employment (Jobs),article,2018-08-08,,Reduce effectiveness of VEO recruiting efforts,,
68,26413,b5593bdc-1093-4c99-baef-5a297703df45,2019,1,Thai,258,VEO,Democratic Processes,article,2018-12-21,,Impede the spread of extremist ideology in the AOR,,
69,26414,eadb8655-107b-44b5-900b-1a8b0ce1eb02,2019,1,Thai,254,VEO,Rule of Law,article,2018-12-26,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
70,26415,e5cf095c-89e1-4ffd-89db-995f14952d5f,2019,1,Thai,245,VEO,Non-Violent Conflict Resolution,commentary,2018-12-06,,Impede the spread of extremist ideology in the AOR,Increase regional stability,
71,26416,e79b3c35-b847-45f1-853a-566a0138223b,2019,1,Thai,236,VEO,Open Media,article,2019-01-31,,Counter VEO propaganda,,
72,26417,c32e0b32-dfac-45af-aeed-1ef81163cd66,2019,1,Thai,230,VEO,Moderate Islam,article,2016-09-15,,Impede the spread of extremist ideology in the AOR,Reduce support for radical Islam and terrorism,
73,26418,ed103ce1-e4b3-4976-8133-494f59652f9c,2019,1,Thai,230,VEO,VEO Consequences,article,2019-01-10,,Reduce effectiveness of VEO recruiting efforts,,
74,26419,4e067b24-8ab5-4e74-8212-8815f93fdd88,2019,1,Thai,228,VEO,Economy,article,2017-12-20,,Reduce support for radical Islam and terrorism,,
75,26420,4aa14512-6387-44c2-80f3-d039efd76147,2019,1,Thai,225,VEO,Non-Violent Conflict Resolution,article,2019-01-09,,Impede the spread of extremist ideology in the AOR,Increase regional stability,
76,26421,19972dd2-b1c6-405c-87d6-593ddd03c7c1,2019,1,Thai,223,VEO,Employment (Jobs),article,2018-08-01,,Reduce effectiveness of VEO recruiting efforts,,
77,26422,de9ad19f-fe07-44b2-aafd-75d9219fe2b5,2019,1,Thai,218,VEO,VEO Consequences,article,2019-01-14,,Reduce effectiveness of VEO recruiting efforts,,
78,26423,83ab8483-abfc-495d-9662-20ea2d690c6c,2019,1,Thai,216,VEO,VEO Consequences,article,2019-03-11,,Reduce effectiveness of VEO recruiting efforts,,
79,26424,c3481998-93a7-4f54-92bc-85775049c0c3,2019,1,Thai,206,VEO,Human Rights,article,2019-01-06,,Impede the spread of extremist ideology in the AOR,,
80,26425,ac7b1768-db78-4058-b8a1-41c0a693bdca,2019,1,Thai,204,VEO,Democratic Processes,article,2019-03-14,,Impede the spread of extremist ideology in the AOR,,
81,26426,e0b6241e-9827-4af5-b8bb-a89753f2f5e4,2019,1,Thai,204,VEO,VEO Consequences,article,2017-03-20,,Reduce effectiveness of VEO recruiting efforts,,
82,26427,6b34dadf-8395-4526-bf04-578a4c507b7a,2019,1,Thai,203,VEO,Rule of Law,article,2017-03-16,,Reduce criminal influence throughout the region,"Reduce trafficking and smuggling of persons, weapons, narcotics, and other illicit items, particularly those that facilitate terrorism",
83,26428,44a3f595-d174-4bec-bec0-a22306c089a8,2019,1,Thai,196,VEO,Democratic Processes,article,2018-12-05,,Impede the spread of extremist ideology in the AOR,,
84,26429,dd1e442d-6efc-43fd-829b-499d947632f3,2019,1,Thai,193,VEO,Regional Cooperation,article,2018-02-13,,Increase regional stability,,
85,26430,8dbce25d-161f-4905-a636-5776a70adb17,2019,1,Thai,190,PRC,Border security,article,2019-02-06,,Increase regional stability,,
86,26431,2687cafe-c9a3-421f-98df-d1ba4d55c282,2019,1,Thai,189,VEO,Employment (Jobs),article,2018-07-24,,Reduce effectiveness of VEO recruiting efforts,,
